"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",0.01,"type1"
1,0.2,"GAUSS5",0.03,"type1"
1,0.4,"GAUSS5",0.01,"type1"
1,0.6,"GAUSS5",0.03,"type1"
1,0.8,"GAUSS5",0.04,"type1"
1,1,"GAUSS5",0.01,"type1"
2,0,"GAUSS5",0.02,"type1"
2,0.2,"GAUSS5",0.02,"type1"
2,0.4,"GAUSS5",0.04,"type1"
2,0.6,"GAUSS5",0.04,"type1"
2,0.8,"GAUSS5",0.01,"type1"
2,1,"GAUSS5",0.03,"type1"
3,0,"GAUSS5",0,"type1"
3,0.2,"GAUSS5",0.01,"type1"
3,0.4,"GAUSS5",0.02,"type1"
3,0.6,"GAUSS5",0.01,"type1"
3,0.8,"GAUSS5",0.04,"type1"
3,1,"GAUSS5",0.03,"type1"
4,0,"GAUSS5",0.01,"type1"
4,0.2,"GAUSS5",0.02,"type1"
4,0.4,"GAUSS5",0.02,"type1"
4,0.6,"GAUSS5",0.02,"type1"
4,0.8,"GAUSS5",0.02,"type1"
4,1,"GAUSS5",0.01,"type1"
5,0,"GAUSS5",0.02,"type1"
5,0.2,"GAUSS5",0.02,"type1"
5,0.4,"GAUSS5",0.01,"type1"
5,0.6,"GAUSS5",0.05,"type1"
5,0.8,"GAUSS5",0.02,"type1"
5,1,"GAUSS5",0.01,"type1"
6,0,"GAUSS5",0.01,"type1"
6,0.2,"GAUSS5",0,"type1"
6,0.4,"GAUSS5",0.01,"type1"
6,0.6,"GAUSS5",0.03,"type1"
6,0.8,"GAUSS5",0.03,"type1"
6,1,"GAUSS5",0.04,"type1"
7,0,"GAUSS5",0.01,"type1"
7,0.2,"GAUSS5",0.02,"type1"
7,0.4,"GAUSS5",0.02,"type1"
7,0.6,"GAUSS5",0.02,"type1"
7,0.8,"GAUSS5",0.06,"type1"
7,1,"GAUSS5",0.03,"type1"
8,0,"GAUSS5",0.01,"type1"
8,0.2,"GAUSS5",0,"type1"
8,0.4,"GAUSS5",0,"type1"
8,0.6,"GAUSS5",0.03,"type1"
8,0.8,"GAUSS5",0.01,"type1"
8,1,"GAUSS5",0.04,"type1"
9,0,"GAUSS5",0.02,"type1"
9,0.2,"GAUSS5",0.02,"type1"
9,0.4,"GAUSS5",0.01,"type1"
9,0.6,"GAUSS5",0.02,"type1"
9,0.8,"GAUSS5",0,"type1"
9,1,"GAUSS5",0.01,"type1"
10,0,"GAUSS5",0,"type1"
10,0.2,"GAUSS5",0.03,"type1"
10,0.4,"GAUSS5",0.03,"type1"
10,0.6,"GAUSS5",0.02,"type1"
10,0.8,"GAUSS5",0.02,"type1"
10,1,"GAUSS5",0,"type1"
